File,Human,Non-Human
SRR1024597,89.24166463,10.75833537
SRR1024724,97.79497238,2.205027617
SRR1024508,98.51645385,1.483546151
SRR1024969,0.003467206,99.99653279
SRR1024823,98.31237358,1.687626417
SRR1024626,0.004245011,99.99575499
SRR1024990,95.54216531,4.457834687
SRR1024503,98.30136223,1.698637768
SRR1024447,96.76633255,3.233667448
SRR1024875,0.004415062,99.99558494
SRR1024815,0.005445842,99.99455416
SRR1024981,88.50312258,11.49687742
SRR1024655,0.004642033,99.99535797
SRR1024493,84.14476073,15.85523927
SRR1024975,87.63861997,12.36138003
SRR1024833,34.00264897,65.99735103
SRR1024678,95.97825396,4.021746043
SRR1024966,0.002676584,99.99732342
SRR1024529,96.54262558,3.457374419
SRR1024604,97.9728478,2.027152197
SRR1024943,97.72114553,2.278854465
SRR1030289,97.96227942,2.037720582
SRR1024686,96.37417652,3.625823476
SRR1024429,96.18327976,3.816720241
SRR1024350,96.51388522,3.486114775
SRR1024889,98.10935144,1.890648562
SRR1024418,97.99395481,2.006045192
SRR1024384,97.98333817,2.016661827
SRR1024693,0.003190202,99.9968098
SRR1024985,92.46211901,7.537880988
SRR1024749,97.28765546,2.712344545
SRR1024786,0.003596811,99.99640319
SRR1024954,0.0043982,99.9956018
SRR1024884,97.99181804,2.008181956
SRR1024864,98.14724289,1.852757108
SRR1024402,97.35815181,2.641848195
SRR1024556,98.23366304,1.766336965
SRR1024521,97.92350294,2.076497062
SRR1024619,0.003657482,99.99634252
SRR1024697,0.00380355,99.99619645
SRR1024615,0.004734112,99.99526589
SRR1024481,93.14625396,6.853746037
SRR1024702,98.43560364,1.564396361
SRR1024922,94.14381479,5.856185205
SRR1024799,97.91432008,2.085679917
SRR1024756,98.1208709,1.879129099
SRR1024794,98.27847586,1.721524141
SRR1024782,98.22468413,1.775315873
SRR1024850,0.005148336,99.99485166
SRR1024666,79.09523366,20.90476634
SRR1024542,98.31820718,1.681792822
SRR1024360,98.16667544,1.83332456
SRR1024640,0.003778764,99.99622124
SRR1024930,93.37236662,6.627633379
SRR1024550,97.79589835,2.20410165
SRR1024463,96.52995963,3.470040366
SRR1024895,96.58661789,3.413382114