GRA,GRA
0.0030404155024216463,0.0030404155024216463
3.120711040622486e-05,3.120711040622486e-05
3.842565652175202e-05,3.842565652175202e-05
0.0003172386276705613,0.0003172386276705613
0.005422395739932274,0.005422395739932274
0.00016228461744354083,0.00016228461744354083
0.00020172434060094322,0.00020172434060094322
0.00010339963804221278,0.00010339963804221278
0.01174859279259609,0.01174859279259609
9.003958319910803e-05,9.003958319910803e-05
0.000720608576032402,0.000720608576032402
8.048972500560543e-05,8.048972500560543e-05
6.574817638375193e-05,6.574817638375193e-05
0.03324925157618105,0.03324925157618105
0.007270927580557589,0.007270927580557589
6.005309478376359e-05,6.005309478376359e-05
4.773780597801101e-05,4.773780597801101e-05
0.0012004041052895487,0.0012004041052895487
3.3431393461871495e-05,3.3431393461871495e-05
8.054087080759906e-05,8.054087080759906e-05
9.248174791060474e-05,9.248174791060474e-05
0.00889431966435731,0.00889431966435731
3.1832238871908876e-05,3.1832238871908876e-05
0.0009661835748792268,0.0004830917874396134
3.8437262259458994e-05,3.8437262259458994e-05
0.0005763398243581004,0.0005763398243581004
0.0001757494236285591,0.0001757494236285591
0.00014281275198620781,0.00014281275198620781
0.011480996586393441,0.011480996586393441
0.0010894352667533123,0.0010894352667533123
0.0011272141706924312,0.0011272141706924312
0.003502800093465965,0.003502800093465965
0.0013517960887326503,0.0013517960887326503
0.0004257512636584293,0.0004257512636584293
8.64669422804033e-05,8.64669422804033e-05
0.00031802857034081216,0.00031802857034081216
3.2555786662264175e-05,3.2555786662264175e-05
0.04404214548452609,0.04404214548452609
2.0309470362288454e-05,2.0309470362288454e-05
0.00011153953849211302,0.00011153953849211302
0.00028372563927049545,0.00028372563927049545
0.0006122158248911675,0.0006122158248911675
0.0008927180158622986,0.0008927180158622986
7.573431325868883e-08,7.573431325868883e-08
0.00041954046521259884,0.00041954046521259884
0.020963270122949924,0.020963270122949924
0.011713632823276232,0.011713632823276232
0.02557446354304864,0.02557446354304864
0.03655394524959741,0.03655394524959741
3.3357883495935828e-06,3.3357883495935828e-06
4.050534871493841e-05,4.050534871493841e-05
0.00011773641433031165,0.00011773641433031165
0.0019323671497584536,0.0019323671497584536
4.583791762566312e-06,4.583791762566312e-06
0.0002798462706111591,0.0002798462706111591
5.7155183419081346e-05,5.7155183419081346e-05
0.00011751955279143608,0.00011751955279143608
0.00015812097523732442,0.00015812097523732442
7.044904324807258e-07,7.044904324807258e-07
0.039590711378232606,0.039590711378232606
0.00040180589535533065,0.00040180589535533065
2.2794933367271105e-05,2.2794933367271105e-05
0.002138886063929705,0.002138886063929705
1.329696505299904e-05,1.329696505299904e-05
0.016234211001462495,0.016234211001462495
0.0002791059583635502,0.0002791059583635502
0.00014631176799784982,0.00014631176799784982
0.0036801188207716494,0.0036801188207716494
0.02692922866801284,0.02692922866801284
0.005354643419310154,0.005354643419310154
0.05873208823908469,0.05873208823908469
0.050363573116497355,0.050363573116497355
4.2110320968074935e-05,4.2110320968074935e-05
0.0016103059581320447,0.0016103059581320447
3.4088740410305355e-05,3.4088740410305355e-05
0.016949982115871096,0.016949982115871096
3.518529528556152e-05,3.518529528556152e-05
0.00579710144927536,0.00579710144927536
0.004434007071405744,0.004434007071405744
0.017559249087804575,0.017559249087804575
4.897646361557747e-06,4.897646361557747e-06
3.188603596373092e-05,3.188603596373092e-05
6.329169914374986e-06,6.329169914374986e-06
0.043455275757823805,0.043455275757823805
0.0006319815469488959,0.0006319815469488959
0.00725382077280935,0.00725382077280935
0.00011082244504790936,0.00011082244504790936
0.04119727580706032,0.04119727580706032
8.285882840904146e-05,8.285882840904146e-05
0.00013963996028531827,0.00013963996028531827
7.614204121172257e-05,7.614204121172257e-05
0.0007765092939968765,0.0007765092939968765
0.001157919224103104,0.001157919224103104
7.2673546073505245e-06,7.2673546073505245e-06
0.0003268837555822565,0.0003268837555822565
7.456365353280116e-05,7.456365353280116e-05
0.008054216585052289,0.008054216585052289
5.788870403719399e-05,5.788870403719399e-05
0.0035426731078904983,0.0003220611916264089
3.9390021007109295e-05,3.9390021007109295e-05
0.014170210529302507,0.014170210529302507
2.8643685069145665e-05,2.8643685069145665e-05
0.0039056194645885616,0.0039056194645885616
6.854884790259973e-05,6.854884790259973e-05
0.0001298234854069796,0.0001298234854069796
7.513958176648897e-05,7.513958176648897e-05
0.0011651803164723536,0.0011651803164723536
0.00010830519806601778,0.00010830519806601778
5.811729080554756e-05,5.811729080554756e-05
7.78160725521663e-06,7.78160725521663e-06
0.02373390657566946,0.02373390657566946
8.761467750717072e-05,8.761467750717072e-05
1.941705999717576e-05,1.941705999717576e-05
3.253488615430835e-05,3.253488615430835e-05
2.366418485827862e-05,2.366418485827862e-05
0.009983896940418676,0.004991948470209338
0.007586616977513102,0.007586616977513102
0.0015796009047213718,0.0015796009047213718
3.3023365949644006e-05,3.3023365949644006e-05
3.333667198218682e-05,3.333667198218682e-05
0.002688721173959403,0.002688721173959403
0.00010796089325271876,0.00010796089325271876
3.014523823814079e-05,3.014523823814079e-05
0.0014066970639199305,0.0014066970639199305
0.006116202624475864,0.006116202624475864
1.693721298325289e-05,1.693721298325289e-05
1.4862489413080742e-05,1.4862489413080742e-05
3.079077711620717e-05,3.079077711620717e-05
0.0004054868861253821,0.0004054868861253821
0.00018734081422824855,0.00018734081422824855
4.49094085811275e-06,4.49094085811275e-06
9.346765748794212e-05,9.346765748794212e-05
2.525242472213417e-05,2.525242472213417e-05
0.1488799983945745,0.1488799983945745
0.0021311766495107766,0.0021311766495107766
0.0031333952131748196,0.0031333952131748196
8.48885546014819e-05,8.48885546014819e-05
7.817176740416298e-05,7.817176740416298e-05
5.990915656067153e-05,5.990915656067153e-05
4.938501559987943e-05,4.938501559987943e-05
0.0004823872970071326,0.0004823872970071326
0.0012882447665056357,0.0006441223832528178
2.0708163528047196e-06,2.0708163528047196e-06
0.05764895330112719,0.05764895330112719
1.9704957330053125e-07,1.9704957330053125e-07
0.00017490598597350707,0.00017490598597350707
8.225602065091436e-06,8.225602065091436e-06
0.00010602178511566304,0.00010602178511566304
4.2535483416351245e-05,4.2535483416351245e-05
1.4682226028383252e-05,1.4682226028383252e-05
0.0012344747418909904,0.0012344747418909904
2.3009626623064665e-05,2.3009626623064665e-05
0.0006562632195567397,0.0006562632195567397
0.00744666258010006,0.00744666258010006
0.0053140096618357465,0.0053140096618357465
0.027949025983025115,0.027949025983025115
9.528241942945251e-05,9.528241942945251e-05
0.043236982450202265,0.043236982450202265
2.4874231253747376e-05,2.4874231253747376e-05
6.186883208710694e-05,6.186883208710694e-05
2.1850707088807405e-08,2.1850707088807405e-08
0.0022089400230268148,0.0022089400230268148
0.0026015001275090342,0.0026015001275090342
4.032621285596718e-06,4.032621285596718e-06
4.557173921781523e-05,4.557173921781523e-05
0.00030876422657340983,0.00030876422657340983
6.598334626503278e-05,6.598334626503278e-05
0.013163139263307392,0.013163139263307392
0.0001052169614628365,0.0001052169614628365
3.5216637536394644e-05,3.5216637536394644e-05
1.5875548597229482e-05,1.5875548597229482e-05
0.004190749398519086,0.004190749398519086
3.2973783805394074e-05,3.2973783805394074e-05
8.96917714139769e-05,8.96917714139769e-05
0.007246376811594204,0.00016103059581320446
0.00012438200440234996,0.00012438200440234996
